WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,,,,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,,,,,
24:c9:a1:b6:51:83,,[WPA2-PSK-CCMP][ESS],2017-10-30 15:01:42,8,-78,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:35:ba:28,Ariel_University,[ESS],2017-10-30 15:01:42,1,-77,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2017-10-30 15:01:42,1,-79,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2017-10-30 15:01:42,6,-83,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:35:ba:78,Ariel_University,[ESS],2017-10-30 15:01:42,11,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-10-30 15:01:42,6,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2e:17:b8,Ariel_University,[ESS],2017-10-30 15:01:42,6,-85,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
8c:0c:90:2f:35:38,Ariel_University,[ESS],2017-10-30 15:01:42,13,-86,32.10558325,35.20518028,666.5,1.5,WIFI,,,,,
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2017-10-30 15:01:58,11,-77,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2017-10-30 15:01:58,1,-68,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
84:18:3a:04:40:98,Ariel_University,[ESS],2017-10-30 15:01:58,11,-67,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2017-10-30 15:01:58,6,-75,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-10-30 15:01:58,6,-77,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2017-10-30 15:01:58,1,-70,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
00:25:86:bc:b5:dc,Private-140,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-30 15:01:58,13,-81,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:ce:08,Ariel_University,[ESS],2017-10-30 15:01:58,6,-80,32.10542311,35.20511281,667.7000122,2,WIFI,,,,,
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2017-10-30 15:02:17,1,-35,32.10536348,35.2051263,667.2999878,8,WIFI,,,,,
